Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
stashbox-custom,"STASHBOX - Custom Design Storage Box","<p><strong>STASHBOX - Premium Storage Solution with Custom Design Options</strong></p><p>Elevate your storage game with our premium STASHBOX collection. Choose from a vibrant selection of colors and make it uniquely yours by uploading your own custom design!</p><p><strong>Features:</strong></p><ul><li>High-quality PLA construction for durability</li><li>Perfect for organizing small items, collectibles, or personal treasures</li><li>Secure closure mechanism keeps contents safe</li><li>Stackable design for space-efficient storage</li><li>Available in 12+ stunning colors</li><li>Custom design upload option for personalization</li></ul><p><strong>Customization Options:</strong></p><ul><li>Choose your preferred color from our extensive palette</li><li>Upload your own logo, artwork, or design</li><li>Perfect for gifts, branding, or personal expression</li></ul><p><strong>Dimensions:</strong> Compact and portable design</p><p><strong>Material:</strong> Premium PLA plastic</p><p><em>Note: Custom designs will be reviewed before production. Allow 3-5 business days for custom orders.</em></p>",STASHBOX,"Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Coins & Currency > Collectible Coins",Storage Box,"storage, custom, personalized, stashbox, organizer, premium, PLA, gift, customizable",TRUE,Color,Black,Custom Design,No Custom Design,,,STB-BLK-001,250,shopify,100,deny,manual,29.99,39.99,TRUE,TRUE,,medboxclosed/amazon-basics-pla-black.png,1,STASHBOX Black Closed View,FALSE,STASHBOX Custom Storage Box - Black | Premium Organizer,"Premium customizable storage box in black. Upload your own design for personalization. Perfect for collectors, gifts, and organization.",594,unisex,adult,STB-BLK-001,new,FALSE,medboxclosed/amazon-basics-pla-black.png,g,,15,TRUE,,,TRUE,,,active
stashbox-custom,,,,,,,,,,Black,Custom Design Upload,,,STB-BLK-002,250,shopify,50,deny,manual,34.99,44.99,TRUE,TRUE,,medboxopen/openbox-black.png,2,STASHBOX Black Open View,,,,,,,,,,medboxclosed/amazon-basics-pla-black.png,g,,18,TRUE,,,TRUE,,,
stashbox-custom,,,,,,,,,,Blue (Premium),No Custom Design,,,STB-BLU-001,250,shopify,100,deny,manual,29.99,39.99,TRUE,TRUE,,medboxclosed/amazon-basics-pla-blue-(premium).png,3,STASHBOX Blue Premium Closed View,,,,,,,,,,medboxclosed/amazon-basics-pla-blue-(premium).png,g,,15,TRUE,,,TRUE,,,
stashbox-custom,,,,,,,,,,Blue (Premium),Custom Design Upload,,,STB-BLU-002,250,shopify,50,deny,manual,34.99,44.99,TRUE,TRUE,,medboxopen/openbox-blue-premium.png,4,STASHBOX Blue Premium Open View,,,,,,,,,,medboxclosed/amazon-basics-pla-blue-(premium).png,g,,18,TRUE,,,TRUE,,,
stashbox-custom,,,,,,,,,,Brown,No Custom Design,,,STB-BRN-001,250,shopify,100,deny,manual,29.99,39.99,TRUE,TRUE,,medboxclosed/amazon-basics-pla-brown.png,5,STASHBOX Brown Closed View,,,,,,,,,,medboxclosed/amazon-basics-pla-brown.png,g,,15,TRUE,,,TRUE,,,
stashbox-custom,,,,,,,,,,Brown,Custom Design Upload,,,STB-BRN-002,250,shopify,50,deny,manual,34.99,44.99,TRUE,TRUE,,medboxopen/openbox-brown.png,6,STASHBOX Brown Open View,,,,,,,,,,medboxclosed/amazon-basics-pla-brown.png,g,,18,TRUE,,,TRUE,,,
stashbox-custom,,,,,,,,,,Dark Blue,No Custom Design,,,STB-DBL-001,250,shopify,100,deny,manual,29.99,39.99,TRUE,TRUE,,medboxclosed/amazon-basics-pla-dark-blue.png,7,STASHBOX Dark Blue Closed View,,,,,,,,,,medboxclosed/amazon-basics-pla-dark-blue.png,g,,15,TRUE,,,TRUE,,,
stashbox-custom,,,,,,,,,,Dark Blue,Custom Design Upload,,,STB-DBL-002,250,shopify,50,deny,manual,34.99,44.99,TRUE,TRUE,,medboxopen/openbox-dark-blue.png,8,STASHBOX Dark Blue Open View,,,,,,,,,,medboxclosed/amazon-basics-pla-dark-blue.png,g,,18,TRUE,,,TRUE,,,
stashbox-custom,,,,,,,,,,Gray,No Custom Design,,,STB-GRY-001,250,shopify,100,deny,manual,29.99,39.99,TRUE,TRUE,,medboxclosed/amazon-basics-pla-gray.png,9,STASHBOX Gray Closed View,,,,,,,,,,medboxclosed/amazon-basics-pla-gray.png,g,,15,TRUE,,,TRUE,,,
stashbox-custom,,,,,,,,,,Gray,Custom Design Upload,,,STB-GRY-002,250,shopify,50,deny,manual,34.99,44.99,TRUE,TRUE,,medboxopen/openbox-gray.png,10,STASHBOX Gray Open View,,,,,,,,,,medboxclosed/amazon-basics-pla-gray.png,g,,18,TRUE,,,TRUE,,,
stashbox-custom,,,,,,,,,,Green,No Custom Design,,,STB-GRN-001,250,shopify,100,deny,manual,29.99,39.99,TRUE,TRUE,,medboxclosed/amazon-basics-pla-green.png,11,STASHBOX Green Closed View,,,,,,,,,,medboxclosed/amazon-basics-pla-green.png,g,,15,TRUE,,,TRUE,,,
stashbox-custom,,,,,,,,,,Green,Custom Design Upload,,,STB-GRN-002,250,shopify,50,deny,manual,34.99,44.99,TRUE,TRUE,,medboxopen/openbox-green.png,12,STASHBOX Green Open View,,,,,,,,,,medboxclosed/amazon-basics-pla-green.png,g,,18,TRUE,,,TRUE,,,
stashbox-custom,,,,,,,,,,Neon Green,No Custom Design,,,STB-NGR-001,250,shopify,100,deny,manual,29.99,39.99,TRUE,TRUE,,medboxclosed/amazon-basics-pla-neon-green.png,13,STASHBOX Neon Green Closed View,,,,,,,,,,medboxclosed/amazon-basics-pla-neon-green.png,g,,15,TRUE,,,TRUE,,,
stashbox-custom,,,,,,,,,,Neon Green,Custom Design Upload,,,STB-NGR-002,250,shopify,50,deny,manual,34.99,44.99,TRUE,TRUE,,medboxopen/openbox-neon-green.png,14,STASHBOX Neon Green Open View,,,,,,,,,,medboxclosed/amazon-basics-pla-neon-green.png,g,,18,TRUE,,,TRUE,,,
stashbox-custom,,,,,,,,,,Orange,No Custom Design,,,STB-ORG-001,250,shopify,100,deny,manual,29.99,39.99,TRUE,TRUE,,medboxclosed/amazon-basics-pla-orange.png,15,STASHBOX Orange Closed View,,,,,,,,,,medboxclosed/amazon-basics-pla-orange.png,g,,15,TRUE,,,TRUE,,,
stashbox-custom,,,,,,,,,,Orange,Custom Design Upload,,,STB-ORG-002,250,shopify,50,deny,manual,34.99,44.99,TRUE,TRUE,,medboxopen/openbox-orange.png,16,STASHBOX Orange Open View,,,,,,,,,,medboxclosed/amazon-basics-pla-orange.png,g,,18,TRUE,,,TRUE,,,
stashbox-custom,,,,,,,,,,Pink,No Custom Design,,,STB-PNK-001,250,shopify,100,deny,manual,29.99,39.99,TRUE,TRUE,,medboxclosed/amazon-basics-pla-pink.png,17,STASHBOX Pink Closed View,,,,,,,,,,medboxclosed/amazon-basics-pla-pink.png,g,,15,TRUE,,,TRUE,,,
stashbox-custom,,,,,,,,,,Pink,Custom Design Upload,,,STB-PNK-002,250,shopify,50,deny,manual,34.99,44.99,TRUE,TRUE,,medboxopen/openbox-pink.png,18,STASHBOX Pink Open View,,,,,,,,,,medboxclosed/amazon-basics-pla-pink.png,g,,18,TRUE,,,TRUE,,,
stashbox-custom,,,,,,,,,,Red,No Custom Design,,,STB-RED-001,250,shopify,100,deny,manual,29.99,39.99,TRUE,TRUE,,medboxclosed/amazon-basics-pla-red.png,19,STASHBOX Red Closed View,,,,,,,,,,medboxclosed/amazon-basics-pla-red.png,g,,15,TRUE,,,TRUE,,,
stashbox-custom,,,,,,,,,,Red,Custom Design Upload,,,STB-RED-002,250,shopify,50,deny,manual,34.99,44.99,TRUE,TRUE,,medboxopen/openbox-red.png,20,STASHBOX Red Open View,,,,,,,,,,medboxclosed/amazon-basics-pla-red.png,g,,18,TRUE,,,TRUE,,,
